"GPS_CODE","GPS variables","LOCATION","Country","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"C002","Enrolment rate among 20-29 year-olds","AUS","Australia","1995","1995","PC","Percentage","0","Units",,,23.13,,
"C002","Enrolment rate among 20-29 year-olds","AUS","Australia","2000","2000","PC","Percentage","0","Units",,,28.23,,
"C002","Enrolment rate among 20-29 year-olds","AUS","Australia","2005","2005","PC","Percentage","0","Units",,,33.2,,
"C002","Enrolment rate among 20-29 year-olds","AUS","Australia","2006","2006","PC","Percentage","0","Units",,,33.18,,
"C002","Enrolment rate among 20-29 year-olds","AUS","Australia","2007","2007","PC","Percentage","0","Units",,,33.07,,
"C002","Enrolment rate among 20-29 year-olds","AUS","Australia","2008","2008","PC","Percentage","0","Units",,,32.99,,
"C002","Enrolment rate among 20-29 year-olds","AUS","Australia","2009","2009","PC","Percentage","0","Units",,,31.53,,
"C002","Enrolment rate among 20-29 year-olds","AUS","Australia","2010","2010","PC","Percentage","0","Units",,,31.85,,
"C002","Enrolment rate among 20-29 year-olds","AUS","Australia","2011","2011","PC","Percentage","0","Units",,,32.81,,
"C002","Enrolment rate among 20-29 year-olds","AUS","Australia","2012","2012","PC","Percentage","0","Units",,,34.52,,
"C002","Enrolment rate among 20-29 year-olds","AUT","Austria","1995","1995","PC","Percentage","0","Units",,,15.62,,
"C002","Enrolment rate among 20-29 year-olds","AUT","Austria","2000","2000","PC","Percentage","0","Units",,,18.29,,
"C002","Enrolment rate among 20-29 year-olds","AUT","Austria","2005","2005","PC","Percentage","0","Units",,,19.36,,
"C002","Enrolment rate among 20-29 year-olds","AUT","Austria","2006","2006","PC","Percentage","0","Units",,,20.04,,
"C002","Enrolment rate among 20-29 year-olds","AUT","Austria","2007","2007","PC","Percentage","0","Units",,,21.59,,
"C002","Enrolment rate among 20-29 year-olds","AUT","Austria","2008","2008","PC","Percentage","0","Units",,,22.48,,
"C002","Enrolment rate among 20-29 year-olds","AUT","Austria","2009","2009","PC","Percentage","0","Units",,,23.22,,
"C002","Enrolment rate among 20-29 year-olds","AUT","Austria","2010","2010","PC","Percentage","0","Units",,,25.19,,
"C002","Enrolment rate among 20-29 year-olds","AUT","Austria","2011","2011","PC","Percentage","0","Units",,,25.37,,
"C002","Enrolment rate among 20-29 year-olds","AUT","Austria","2012","2012","PC","Percentage","0","Units",,,25.85,,
"C002","Enrolment rate among 20-29 year-olds","BEL","Belgium","1995","1995","PC","Percentage","0","Units",,,24.4,,
"C002","Enrolment rate among 20-29 year-olds","BEL","Belgium","2000","2000","PC","Percentage","0","Units",,,25.23,,
"C002","Enrolment rate among 20-29 year-olds","BEL","Belgium","2005","2005","PC","Percentage","0","Units",,,29.38,,
"C002","Enrolment rate among 20-29 year-olds","BEL","Belgium","2006","2006","PC","Percentage","0","Units",,,29.21,,
"C002","Enrolment rate among 20-29 year-olds","BEL","Belgium","2007","2007","PC","Percentage","0","Units",,,28.29,,
"C002","Enrolment rate among 20-29 year-olds","BEL","Belgium","2008","2008","PC","Percentage","0","Units",,,29.04,,
"C002","Enrolment rate among 20-29 year-olds","BEL","Belgium","2009","2009","PC","Percentage","0","Units",,,29.5,,
"C002","Enrolment rate among 20-29 year-olds","BEL","Belgium","2010","2010","PC","Percentage","0","Units",,,30.34,,
